บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
278,พู่กันแบบกลม เบอร์ 8,อัน, 30.00 
279,พู่กันแบบกลม  เบอร์ 10,อัน, 45.00 
280,พู่กันแบบกลม  เบอร์ 12,อัน, 54.00 
281,พู่กันแบบกลม  เบอร์ 14,อัน, 60.00 
282,พู่กันแบบกลม  เบอร์ 16,อัน, 70.00 
วัสดุงานบ้านงานครัว,,,
283,ก้อนเจลดับกลิ่น,ก้อน, 50.00 
284,ก้อนดับกลิ่น (ซักโครก),ก้อน, 180.00 
285,กระดาษทิชชูจัมโบ้ (12 ม้วน),กล่อง, 250.00 
286,กระดาษทิชชู (แบบกล่อง),กล่อง, 65.00 
287,กระดาษทิชชู (แบบม้วน) (1/24 ม้วน),กล่อง, 350.00 
288,แก้วกรวยกระดาษ (แบบกรวย),แถว, 65.00 
289,ขันน้ำพลาสติก,อัน, 35.00 
290,เชือกฟาง ม้วนใหญ่,ม้วน, 65.00 
291,ถังขยะประเภท (ชุด 4 ใบ) 60 ลิตร,1 ชุด," 1,100.00 "
292,ถังขยะประเภท (ชุด 4 ใบ) 120 ลิตร,1 ชุด," 1,700.00 "
ถุงดำขยะ,,,
293,ถุงดำขยะ 18*20 นิ้ว,แพ็ค, 75.00 
294,ถุงดำขยะ 24*28 นิ้ว,แพ็ค, 75.00 
295,ถุงดำขยะ 22*30 นิ้ว,แพ็ค, 75.00 
296,ถุงดำขยะ 28*36 นิ้ว,แพ็ค, 75.00 
297,ถุงดำขยะ 30*40 นิ้ว,แพ็ค, 75.00 
298,ถุงดำขยะ 36*45 นิ้ว,แพ็ค, 75.00 
299,ถุงดำขยะ 45*50 นิ้ว,แพ็ค, 75.00 
300,ที่ตักขยะพลาสติก,อัน, 50.00 
301,ที่ตักขยะสังกะสี,อัน, 150.00 
น้ำยา,,,
302,น้ำยาดับกลิ่น ถูพื้น และฆ่าเชื้อโรคทั่วไป (3.8 ลิตร),แกลลอน, 250.00 
303,น้ำยาเดอะริงแว็กซ์ น้ำยาเคลือมเงาพื้น (3.8 ลิตร),แกลลอน, 495.00 
304,น้ำยาสบู่เหลวล้างมือ (3.8 ลิตร),แกลลอน, 290.00 
305,น้ำยาทะลวงท่ออุดตัน (3.8 ลิตร),แกลลอน, 390.00 
